Supplementary Table 1: Annual distribution of dated tombstones identified in Kara-Djigach and Burana,,,,,,,
,Kara-Djigach,,,Burana,,,
Year,Male,Female,Unknown,Male,Female,Unknown,
1248,1,,,,,,
1249,1,,,,,,
1250,,1,,,,,
1251,,,,,,,
1252,,,,,,,
1253,,,,,,,
1254,,1,,,,,
1255,1,,,,,,
1256,,,,,,,
1257,,,,,,,
1258,1,,,,,,
1259,,,,,,,
1260,,,,,,,
1261,2,,,,,,
1262,2,1,,,,,
1263,1,,,,,,
1264,9,1,,,,,
1265,,1,,,,,
1266,2,,,,,,
1267,,1,,1,,,
1268,,,,,,,
1269,,3,,,,,
1270,1,,,,,,
1271,,,,,,,
1272,2,,,,,,
1273,2,,,,,,
1274,,2,,,,,
1275,1,,,,,,
1276,,1,,,,,
1277,,,,,,,
1278,,,1,,,,
1279,1,,,,,,
1280,,1,,,,,
1281,,1,,,,,
1282,,1,,,,,
1283,1,,,,,,
1284,,,,,,,
1285,1,,,,,,
1286,6,6,,,,,
1287,1,1,,,,,
1288,3,5,,,,,
1289,5,1,,1,,,
1290,1,2,,,,,
1291,2,1,,,,,
1292,8,3,,,,,
1293,2,1,,,,,
1294,1,1,,,,,
1295,,,,,,,
1296,1,,,,,,
1297,3,,,,,,
1298,1,2,,,,,
1299,1,1,,,,,
1300,4,1,,,,,
1301,8,4,,,,,
1302,2,1,,,,,
1303,1,,,,,,
1304,2,2,,,,,
1305,3,4,,,,,
1306,2,3,,,,,
1307,6,3,,,,,
1308,2,3,,,,,
1309,1,,,,,,
1310,2,3,,,,,
1311,2,,,,,,
1312,3,,,,,,
1313,5,2,,,,,
1314,,2,,,,,
1315,2,1,,,,,
1316,4,4,,,,,
1317,2,1,,,1,,
1318,2,1,,,,,
1319,1,1,,,,,
1320,4,3,,,1,,
1321,1,2,,,,,
1322,,,,,,,
1323,6,2,,,,,
1324,4,4,,,1,,
1325,3,1,,,,,
1326,1,3,,,,,
1327,2,5,,,,,
1328,1,1,,,,,
1329,4,3,,,1,,
1330,2,4,,,,,
1331,5,4,,,,,
1332,3,2,,,,,
1333,3,3,,,,,
1334,,,,,,,
1335,4,2,,,,,
1336,10,5,,,,,
1337,4,7,,,,,
1338,17,17,,1,,,
1339,38,40,2,2,1,,
1340,2,1,,,1,,
1341,13,9,,,,,
1342,9,4,1,,,,
1343,,,,,,,
1344,,,,,,,
1345,1,,,,,,
SUM,255,197,4,5,6,0,467
